REF_DATE,GEO,DGUID,Components of population growth,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,COORDINATE,VALUE
2017/2018,"Red Deer (CMA), Alberta",2021S0503830,Residual deviation,Total - gender,All ages,Persons,249,units,0,38.11.1.1,-215
2018/2019,"Red Deer (CMA), Alberta",2021S0503830,Residual deviation,Total - gender,All ages,Persons,249,units,0,38.11.1.1,-200
2019/2020,"Red Deer (CMA), Alberta",2021S0503830,Residual deviation,Total - gender,All ages,Persons,249,units,0,38.11.1.1,-209
2020/2021,"Red Deer (CMA), Alberta",2021S0503830,Residual deviation,Total - gender,All ages,Persons,249,units,0,38.11.1.1,-118
2017/2018,"Edmonton (CMA), Alberta",2021S0503835,Net emigration,Total - gender,All ages,Persons,249,units,0,39.4.1.1,1409
2018/2019,"Edmonton (CMA), Alberta",2021S0503835,Net emigration,Total - gender,All ages,Persons,249,units,0,39.4.1.1,1412
2019/2020,"Edmonton (CMA), Alberta",2021S0503835,Net emigration,Total - gender,All ages,Persons,249,units,0,39.4.1.1,1047
2020/2021,"Edmonton (CMA), Alberta",2021S0503835,Net emigration,Total - gender,All ages,Persons,249,units,0,39.4.1.1,1062
2021/2022,"Edmonton (CMA), Alberta",2021S0503835,Net emigration,Total - gender,All ages,Persons,249,units,0,39.4.1.1,1853
2022/2023,"Edmonton (CMA), Alberta",2021S0503835,Net emigration,Total - gender,All ages,Persons,249,units,0,39.4.1.1,1678
2023/2024,"Edmonton (CMA), Alberta",2021S0503835,Net emigration,Total - gender,All ages,Persons,249,units,0,39.4.1.1,1730
2017/2018,"Edmonton (CMA), Alberta",2021S0503835,Returning emigrants,Total - gender,All ages,Persons,249,units,0,39.6.1.1,1874
2018/2019,"Edmonton (CMA), Alberta",2021S0503835,Returning emigrants,Total - gender,All ages,Persons,249,units,0,39.6.1.1,1778
2019/2020,"Edmonton (CMA), Alberta",2021S0503835,Returning emigrants,Total - gender,All ages,Persons,249,units,0,39.6.1.1,1341
2020/2021,"Edmonton (CMA), Alberta",2021S0503835,Returning emigrants,Total - gender,All ages,Persons,249,units,0,39.6.1.1,1228
2021/2022,"Edmonton (CMA), Alberta",2021S0503835,Returning emigrants,Total - gender,All ages,Persons,249,units,0,39.6.1.1,1810
2022/2023,"Edmonton (CMA), Alberta",2021S0503835,Returning emigrants,Total - gender,All ages,Persons,249,units,0,39.6.1.1,1846
2023/2024,"Edmonton (CMA), Alberta",2021S0503835,Returning emigrants,Total - gender,All ages,Persons,249,units,0,39.6.1.1,1905
2017/2018,"Edmonton (CMA), Alberta",2021S0503835,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,39.8.1.1,-954
2018/2019,"Edmonton (CMA), Alberta",2021S0503835,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,39.8.1.1,-530
2019/2020,"Edmonton (CMA), Alberta",2021S0503835,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,39.8.1.1,-1442
2020/2021,"Edmonton (CMA), Alberta",2021S0503835,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,39.8.1.1,-3154
2021/2022,"Edmonton (CMA), Alberta",2021S0503835,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,39.8.1.1,-263
2022/2023,"Edmonton (CMA), Alberta",2021S0503835,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,39.8.1.1,10874
2023/2024,"Edmonton (CMA), Alberta",2021S0503835,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,39.8.1.1,13893
2017/2018,"Edmonton (CMA), Alberta",2021S0503835,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,39.9.1.1,4174
2018/2019,"Edmonton (CMA), Alberta",2021S0503835,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,39.9.1.1,4254
2019/2020,"Edmonton (CMA), Alberta",2021S0503835,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,39.9.1.1,4877
2020/2021,"Edmonton (CMA), Alberta",2021S0503835,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,39.9.1.1,2833
2021/2022,"Edmonton (CMA), Alberta",2021S0503835,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,39.9.1.1,3008
2022/2023,"Edmonton (CMA), Alberta",2021S0503835,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,39.9.1.1,2681
2023/2024,"Edmonton (CMA), Alberta",2021S0503835,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,39.9.1.1,2924
2017/2018,"Edmonton (CMA), Alberta",2021S0503835,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,39.10.1.1,-354
2018/2019,"Edmonton (CMA), Alberta",2021S0503835,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,39.10.1.1,426
2019/2020,"Edmonton (CMA), Alberta",2021S0503835,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,39.10.1.1,235
2020/2021,"Edmonton (CMA), Alberta",2021S0503835,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,39.10.1.1,-1899
2021/2022,"Edmonton (CMA), Alberta",2021S0503835,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,39.10.1.1,2168
2022/2023,"Edmonton (CMA), Alberta",2021S0503835,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,39.10.1.1,22625
2023/2024,"Edmonton (CMA), Alberta",2021S0503835,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,39.10.1.1,30937
2017/2018,"Edmonton (CMA), Alberta",2021S0503835,Residual deviation,Total - gender,All ages,Persons,249,units,0,39.11.1.1,-1042
2018/2019,"Edmonton (CMA), Alberta",2021S0503835,Residual deviation,Total - gender,All ages,Persons,249,units,0,39.11.1.1,-1000
2019/2020,"Edmonton (CMA), Alberta",2021S0503835,Residual deviation,Total - gender,All ages,Persons,249,units,0,39.11.1.1,-931
2020/2021,"Edmonton (CMA), Alberta",2021S0503835,Residual deviation,Total - gender,All ages,Persons,249,units,0,39.11.1.1,-1203
2017/2018,"Kelowna (CMA), British Columbia",2021S0503915,Net emigration,Total - gender,All ages,Persons,249,units,0,40.4.1.1,359
2018/2019,"Kelowna (CMA), British Columbia",2021S0503915,Net emigration,Total - gender,All ages,Persons,249,units,0,40.4.1.1,276
2019/2020,"Kelowna (CMA), British Columbia",2021S0503915,Net emigration,Total - gender,All ages,Persons,249,units,0,40.4.1.1,115
2020/2021,"Kelowna (CMA), British Columbia",2021S0503915,Net emigration,Total - gender,All ages,Persons,249,units,0,40.4.1.1,22
2021/2022,"Kelowna (CMA), British Columbia",2021S0503915,Net emigration,Total - gender,All ages,Persons,249,units,0,40.4.1.1,260
2022/2023,"Kelowna (CMA), British Columbia",2021S0503915,Net emigration,Total - gender,All ages,Persons,249,units,0,40.4.1.1,371
2023/2024,"Kelowna (CMA), British Columbia",2021S0503915,Net emigration,Total - gender,All ages,Persons,249,units,0,40.4.1.1,389
2017/2018,"Kelowna (CMA), British Columbia",2021S0503915,Returning emigrants,Total - gender,All ages,Persons,249,units,0,40.6.1.1,296
2018/2019,"Kelowna (CMA), British Columbia",2021S0503915,Returning emigrants,Total - gender,All ages,Persons,249,units,0,40.6.1.1,273
2019/2020,"Kelowna (CMA), British Columbia",2021S0503915,Returning emigrants,Total - gender,All ages,Persons,249,units,0,40.6.1.1,261
2020/2021,"Kelowna (CMA), British Columbia",2021S0503915,Returning emigrants,Total - gender,All ages,Persons,249,units,0,40.6.1.1,209
2021/2022,"Kelowna (CMA), British Columbia",2021S0503915,Returning emigrants,Total - gender,All ages,Persons,249,units,0,40.6.1.1,244
2022/2023,"Kelowna (CMA), British Columbia",2021S0503915,Returning emigrants,Total - gender,All ages,Persons,249,units,0,40.6.1.1,247
2023/2024,"Kelowna (CMA), British Columbia",2021S0503915,Returning emigrants,Total - gender,All ages,Persons,249,units,0,40.6.1.1,255
2017/2018,"Kelowna (CMA), British Columbia",2021S0503915,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,40.8.1.1,1946
2018/2019,"Kelowna (CMA), British Columbia",2021S0503915,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,40.8.1.1,1871
2019/2020,"Kelowna (CMA), British Columbia",2021S0503915,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,40.8.1.1,2184
2020/2021,"Kelowna (CMA), British Columbia",2021S0503915,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,40.8.1.1,3055
2021/2022,"Kelowna (CMA), British Columbia",2021S0503915,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,40.8.1.1,3362
2022/2023,"Kelowna (CMA), British Columbia",2021S0503915,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,40.8.1.1,1162
2023/2024,"Kelowna (CMA), British Columbia",2021S0503915,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,40.8.1.1,137
2017/2018,"Kelowna (CMA), British Columbia",2021S0503915,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,40.9.1.1,1536
2018/2019,"Kelowna (CMA), British Columbia",2021S0503915,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,40.9.1.1,1549
2019/2020,"Kelowna (CMA), British Columbia",2021S0503915,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,40.9.1.1,1704
2020/2021,"Kelowna (CMA), British Columbia",2021S0503915,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,40.9.1.1,1809
2021/2022,"Kelowna (CMA), British Columbia",2021S0503915,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,40.9.1.1,2302
2022/2023,"Kelowna (CMA), British Columbia",2021S0503915,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,40.9.1.1,1563
2023/2024,"Kelowna (CMA), British Columbia",2021S0503915,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,40.9.1.1,1314
2017/2018,"Kelowna (CMA), British Columbia",2021S0503915,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,40.10.1.1,1471
2018/2019,"Kelowna (CMA), British Columbia",2021S0503915,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,40.10.1.1,1174
2019/2020,"Kelowna (CMA), British Columbia",2021S0503915,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,40.10.1.1,456
2020/2021,"Kelowna (CMA), British Columbia",2021S0503915,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,40.10.1.1,126
2021/2022,"Kelowna (CMA), British Columbia",2021S0503915,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,40.10.1.1,651
2022/2023,"Kelowna (CMA), British Columbia",2021S0503915,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,40.10.1.1,3660
2023/2024,"Kelowna (CMA), British Columbia",2021S0503915,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,40.10.1.1,2687
2017/2018,"Kelowna (CMA), British Columbia",2021S0503915,Residual deviation,Total - gender,All ages,Persons,249,units,0,40.11.1.1,802
2018/2019,"Kelowna (CMA), British Columbia",2021S0503915,Residual deviation,Total - gender,All ages,Persons,249,units,0,40.11.1.1,820
2019/2020,"Kelowna (CMA), British Columbia",2021S0503915,Residual deviation,Total - gender,All ages,Persons,249,units,0,40.11.1.1,882
2020/2021,"Kelowna (CMA), British Columbia",2021S0503915,Residual deviation,Total - gender,All ages,Persons,249,units,0,40.11.1.1,745
2017/2018,"Kamloops (CMA), British Columbia",2021S0503925,Net emigration,Total - gender,All ages,Persons,249,units,0,41.4.1.1,124
2018/2019,"Kamloops (CMA), British Columbia",2021S0503925,Net emigration,Total - gender,All ages,Persons,249,units,0,41.4.1.1,103
2019/2020,"Kamloops (CMA), British Columbia",2021S0503925,Net emigration,Total - gender,All ages,Persons,249,units,0,41.4.1.1,81
2020/2021,"Kamloops (CMA), British Columbia",2021S0503925,Net emigration,Total - gender,All ages,Persons,249,units,0,41.4.1.1,103
2021/2022,"Kamloops (CMA), British Columbia",2021S0503925,Net emigration,Total - gender,All ages,Persons,249,units,0,41.4.1.1,104
2022/2023,"Kamloops (CMA), British Columbia",2021S0503925,Net emigration,Total - gender,All ages,Persons,249,units,0,41.4.1.1,123
2023/2024,"Kamloops (CMA), British Columbia",2021S0503925,Net emigration,Total - gender,All ages,Persons,249,units,0,41.4.1.1,125
2017/2018,"Kamloops (CMA), British Columbia",2021S0503925,Returning emigrants,Total - gender,All ages,Persons,249,units,0,41.6.1.1,78
2018/2019,"Kamloops (CMA), British Columbia",2021S0503925,Returning emigrants,Total - gender,All ages,Persons,249,units,0,41.6.1.1,63
2019/2020,"Kamloops (CMA), British Columbia",2021S0503925,Returning emigrants,Total - gender,All ages,Persons,249,units,0,41.6.1.1,74
2020/2021,"Kamloops (CMA), British Columbia",2021S0503925,Returning emigrants,Total - gender,All ages,Persons,249,units,0,41.6.1.1,72
2021/2022,"Kamloops (CMA), British Columbia",2021S0503925,Returning emigrants,Total - gender,All ages,Persons,249,units,0,41.6.1.1,53
2022/2023,"Kamloops (CMA), British Columbia",2021S0503925,Returning emigrants,Total - gender,All ages,Persons,249,units,0,41.6.1.1,68
2023/2024,"Kamloops (CMA), British Columbia",2021S0503925,Returning emigrants,Total - gender,All ages,Persons,249,units,0,41.6.1.1,72
2017/2018,"Kamloops (CMA), British Columbia",2021S0503925,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,41.8.1.1,292
2018/2019,"Kamloops (CMA), British Columbia",2021S0503925,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,41.8.1.1,110
2019/2020,"Kamloops (CMA), British Columbia",2021S0503925,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,41.8.1.1,341
2020/2021,"Kamloops (CMA), British Columbia",2021S0503925,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,41.8.1.1,417
2021/2022,"Kamloops (CMA), British Columbia",2021S0503925,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,41.8.1.1,375
2022/2023,"Kamloops (CMA), British Columbia",2021S0503925,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,41.8.1.1,25
2023/2024,"Kamloops (CMA), British Columbia",2021S0503925,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,41.8.1.1,-212
2017/2018,"Kamloops (CMA), British Columbia",2021S0503925,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,41.9.1.1,1138
2018/2019,"Kamloops (CMA), British Columbia",2021S0503925,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,41.9.1.1,870
2019/2020,"Kamloops (CMA), British Columbia",2021S0503925,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,41.9.1.1,669
2020/2021,"Kamloops (CMA), British Columbia",2021S0503925,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,41.9.1.1,443
2021/2022,"Kamloops (CMA), British Columbia",2021S0503925,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,41.9.1.1,588
2022/2023,"Kamloops (CMA), British Columbia",2021S0503925,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,41.9.1.1,547
2023/2024,"Kamloops (CMA), British Columbia",2021S0503925,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,41.9.1.1,371
2017/2018,"Kamloops (CMA), British Columbia",2021S0503925,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,41.10.1.1,1790
2018/2019,"Kamloops (CMA), British Columbia",2021S0503925,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,41.10.1.1,557
2019/2020,"Kamloops (CMA), British Columbia",2021S0503925,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,41.10.1.1,-24
2020/2021,"Kamloops (CMA), British Columbia",2021S0503925,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,41.10.1.1,-534
2021/2022,"Kamloops (CMA), British Columbia",2021S0503925,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,41.10.1.1,1784
2022/2023,"Kamloops (CMA), British Columbia",2021S0503925,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,41.10.1.1,2767
2023/2024,"Kamloops (CMA), British Columbia",2021S0503925,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,41.10.1.1,2226
2017/2018,"Kamloops (CMA), British Columbia",2021S0503925,Residual deviation,Total - gender,All ages,Persons,249,units,0,41.11.1.1,322
2018/2019,"Kamloops (CMA), British Columbia",2021S0503925,Residual deviation,Total - gender,All ages,Persons,249,units,0,41.11.1.1,340
2019/2020,"Kamloops (CMA), British Columbia",2021S0503925,Residual deviation,Total - gender,All ages,Persons,249,units,0,41.11.1.1,338
2020/2021,"Kamloops (CMA), British Columbia",2021S0503925,Residual deviation,Total - gender,All ages,Persons,249,units,0,41.11.1.1,315
2017/2018,"Chilliwack (CMA), British Columbia",2021S0503930,Net emigration,Total - gender,All ages,Persons,249,units,0,42.4.1.1,76
2018/2019,"Chilliwack (CMA), British Columbia",2021S0503930,Net emigration,Total - gender,All ages,Persons,249,units,0,42.4.1.1,93
2019/2020,"Chilliwack (CMA), British Columbia",2021S0503930,Net emigration,Total - gender,All ages,Persons,249,units,0,42.4.1.1,106
2020/2021,"Chilliwack (CMA), British Columbia",2021S0503930,Net emigration,Total - gender,All ages,Persons,249,units,0,42.4.1.1,113
2021/2022,"Chilliwack (CMA), British Columbia",2021S0503930,Net emigration,Total - gender,All ages,Persons,249,units,0,42.4.1.1,117
2022/2023,"Chilliwack (CMA), British Columbia",2021S0503930,Net emigration,Total - gender,All ages,Persons,249,units,0,42.4.1.1,133
2023/2024,"Chilliwack (CMA), British Columbia",2021S0503930,Net emigration,Total - gender,All ages,Persons,249,units,0,42.4.1.1,141
2017/2018,"Chilliwack (CMA), British Columbia",2021S0503930,Returning emigrants,Total - gender,All ages,Persons,249,units,0,42.6.1.1,70
2018/2019,"Chilliwack (CMA), British Columbia",2021S0503930,Returning emigrants,Total - gender,All ages,Persons,249,units,0,42.6.1.1,64
2019/2020,"Chilliwack (CMA), British Columbia",2021S0503930,Returning emigrants,Total - gender,All ages,Persons,249,units,0,42.6.1.1,56
2020/2021,"Chilliwack (CMA), British Columbia",2021S0503930,Returning emigrants,Total - gender,All ages,Persons,249,units,0,42.6.1.1,74
2021/2022,"Chilliwack (CMA), British Columbia",2021S0503930,Returning emigrants,Total - gender,All ages,Persons,249,units,0,42.6.1.1,70
2022/2023,"Chilliwack (CMA), British Columbia",2021S0503930,Returning emigrants,Total - gender,All ages,Persons,249,units,0,42.6.1.1,75
2023/2024,"Chilliwack (CMA), British Columbia",2021S0503930,Returning emigrants,Total - gender,All ages,Persons,249,units,0,42.6.1.1,76
2017/2018,"Chilliwack (CMA), British Columbia",2021S0503930,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,42.8.1.1,-31
2018/2019,"Chilliwack (CMA), British Columbia",2021S0503930,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,42.8.1.1,19
2019/2020,"Chilliwack (CMA), British Columbia",2021S0503930,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,42.8.1.1,84
2020/2021,"Chilliwack (CMA), British Columbia",2021S0503930,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,42.8.1.1,311
2021/2022,"Chilliwack (CMA), British Columbia",2021S0503930,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,42.8.1.1,-41
2022/2023,"Chilliwack (CMA), British Columbia",2021S0503930,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,42.8.1.1,-582
2023/2024,"Chilliwack (CMA), British Columbia",2021S0503930,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,42.8.1.1,-497
2017/2018,"Chilliwack (CMA), British Columbia",2021S0503930,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,42.9.1.1,2398
2018/2019,"Chilliwack (CMA), British Columbia",2021S0503930,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,42.9.1.1,1618
2019/2020,"Chilliwack (CMA), British Columbia",2021S0503930,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,42.9.1.1,2173
2020/2021,"Chilliwack (CMA), British Columbia",2021S0503930,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,42.9.1.1,1908
2021/2022,"Chilliwack (CMA), British Columbia",2021S0503930,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,42.9.1.1,2401
2022/2023,"Chilliwack (CMA), British Columbia",2021S0503930,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,42.9.1.1,1937
2023/2024,"Chilliwack (CMA), British Columbia",2021S0503930,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,42.9.1.1,2449
2017/2018,"Chilliwack (CMA), British Columbia",2021S0503930,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,42.10.1.1,738
2018/2019,"Chilliwack (CMA), British Columbia",2021S0503930,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,42.10.1.1,232
2019/2020,"Chilliwack (CMA), British Columbia",2021S0503930,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,42.10.1.1,-82
2020/2021,"Chilliwack (CMA), British Columbia",2021S0503930,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,42.10.1.1,-92
2021/2022,"Chilliwack (CMA), British Columbia",2021S0503930,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,42.10.1.1,328
2022/2023,"Chilliwack (CMA), British Columbia",2021S0503930,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,42.10.1.1,835
2023/2024,"Chilliwack (CMA), British Columbia",2021S0503930,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,42.10.1.1,664
2017/2018,"Chilliwack (CMA), British Columbia",2021S0503930,Residual deviation,Total - gender,All ages,Persons,249,units,0,42.11.1.1,-133
2018/2019,"Chilliwack (CMA), British Columbia",2021S0503930,Residual deviation,Total - gender,All ages,Persons,249,units,0,42.11.1.1,-112
2019/2020,"Chilliwack (CMA), British Columbia",2021S0503930,Residual deviation,Total - gender,All ages,Persons,249,units,0,42.11.1.1,-99
2020/2021,"Chilliwack (CMA), British Columbia",2021S0503930,Residual deviation,Total - gender,All ages,Persons,249,units,0,42.11.1.1,-30
2017/2018,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net emigration,Total - gender,All ages,Persons,249,units,0,43.4.1.1,300
2018/2019,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net emigration,Total - gender,All ages,Persons,249,units,0,43.4.1.1,199
2019/2020,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net emigration,Total - gender,All ages,Persons,249,units,0,43.4.1.1,221
2020/2021,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net emigration,Total - gender,All ages,Persons,249,units,0,43.4.1.1,67
2021/2022,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net emigration,Total - gender,All ages,Persons,249,units,0,43.4.1.1,95
2022/2023,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net emigration,Total - gender,All ages,Persons,249,units,0,43.4.1.1,125
2023/2024,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net emigration,Total - gender,All ages,Persons,249,units,0,43.4.1.1,130
2017/2018,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Returning emigrants,Total - gender,All ages,Persons,249,units,0,43.6.1.1,177
2018/2019,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Returning emigrants,Total - gender,All ages,Persons,249,units,0,43.6.1.1,152
2019/2020,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Returning emigrants,Total - gender,All ages,Persons,249,units,0,43.6.1.1,100
2020/2021,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Returning emigrants,Total - gender,All ages,Persons,249,units,0,43.6.1.1,94
2021/2022,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Returning emigrants,Total - gender,All ages,Persons,249,units,0,43.6.1.1,103
2022/2023,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Returning emigrants,Total - gender,All ages,Persons,249,units,0,43.6.1.1,131
2023/2024,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Returning emigrants,Total - gender,All ages,Persons,249,units,0,43.6.1.1,134
2017/2018,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,43.8.1.1,-212
2018/2019,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,43.8.1.1,25
2019/2020,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,43.8.1.1,193
2020/2021,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,43.8.1.1,524
2021/2022,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,43.8.1.1,-153
2022/2023,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,43.8.1.1,-619
2023/2024,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,43.8.1.1,-986
2017/2018,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,43.9.1.1,548
2018/2019,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,43.9.1.1,112
2019/2020,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,43.9.1.1,-89
2020/2021,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,43.9.1.1,398
2021/2022,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,43.9.1.1,53
2022/2023,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,43.9.1.1,354
2023/2024,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,43.9.1.1,565
2017/2018,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,43.10.1.1,2491
2018/2019,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,43.10.1.1,2599
2019/2020,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,43.10.1.1,-84
2020/2021,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,43.10.1.1,-185
2021/2022,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,43.10.1.1,-120
2022/2023,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,43.10.1.1,3856
2023/2024,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,43.10.1.1,4207
2017/2018,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Residual deviation,Total - gender,All ages,Persons,249,units,0,43.11.1.1,-180
2018/2019,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Residual deviation,Total - gender,All ages,Persons,249,units,0,43.11.1.1,-171
2019/2020,"Abbotsford - Mission (CMA), British Columbia",2021S0503932,Residual deviation,Total - gender,All ages,Persons,249,units,0,43.11.1.1,-162
