"","REF_DATE","Characteristics","Wealth","VALUE","covid"
"401",2019-10-01,"Lowest income quintile","Other financial assets",321289,"Pre-COVID"
"402",2020-01-01,"Lowest income quintile","Other financial assets",399270,"Pre-COVID"
"403",2020-04-01,"Lowest income quintile","Other financial assets",513399,"COVID"
"404",2020-07-01,"Lowest income quintile","Other financial assets",562431,"COVID"
"405",2020-10-01,"Lowest income quintile","Other financial assets",657294,"COVID"
"406",2021-01-01,"Lowest income quintile","Other financial assets",743959,"COVID"
"407",2021-04-01,"Lowest income quintile","Other financial assets",759955,"COVID"
"408",2021-07-01,"Lowest income quintile","Other financial assets",735735,"COVID"
"409",2021-10-01,"Lowest income quintile","Other financial assets",760631,"COVID"
"410",2022-01-01,"Lowest income quintile","Other financial assets",834644,"COVID"
"411",2022-04-01,"Lowest income quintile","Other financial assets",747892,"COVID"
"412",2022-07-01,"Lowest income quintile","Other financial assets",699522,"COVID"
"413",2022-10-01,"Lowest income quintile","Other financial assets",735324,"Post-COVID"
"414",2023-01-01,"Lowest income quintile","Other financial assets",811541,"Post-COVID"
"415",2023-04-01,"Lowest income quintile","Other financial assets",768773,"Post-COVID"
"416",2023-07-01,"Lowest income quintile","Other financial assets",714075,"Post-COVID"
"417",2023-10-01,"Lowest income quintile","Other financial assets",749951,"Post-COVID"
"418",2024-01-01,"Lowest income quintile","Other financial assets",815059,"Post-COVID"
"419",2024-04-01,"Lowest income quintile","Other financial assets",800615,"Post-COVID"
"420",2024-07-01,"Lowest income quintile","Other financial assets",775750,"Post-COVID"
"421",2017-10-01,"Lowest income quintile","Non-financial assets",460512,"Pre-COVID"
"422",2018-01-01,"Lowest income quintile","Non-financial assets",NA,"Pre-COVID"
"423",2018-04-01,"Lowest income quintile","Non-financial assets",NA,"Pre-COVID"
"424",2018-07-01,"Lowest income quintile","Non-financial assets",NA,"Pre-COVID"
"425",2018-10-01,"Lowest income quintile","Non-financial assets",503723,"Pre-COVID"
"426",2019-01-01,"Lowest income quintile","Non-financial assets",NA,"Pre-COVID"
"427",2019-04-01,"Lowest income quintile","Non-financial assets",NA,"Pre-COVID"
"428",2019-07-01,"Lowest income quintile","Non-financial assets",NA,"Pre-COVID"
"429",2019-10-01,"Lowest income quintile","Non-financial assets",597555,"Pre-COVID"
"430",2020-01-01,"Lowest income quintile","Non-financial assets",755143,"Pre-COVID"
"431",2020-04-01,"Lowest income quintile","Non-financial assets",822249,"COVID"
"432",2020-07-01,"Lowest income quintile","Non-financial assets",851422,"COVID"
"433",2020-10-01,"Lowest income quintile","Non-financial assets",964712,"COVID"
"434",2021-01-01,"Lowest income quintile","Non-financial assets",1101597,"COVID"
"435",2021-04-01,"Lowest income quintile","Non-financial assets",1098234,"COVID"
"436",2021-07-01,"Lowest income quintile","Non-financial assets",1073266,"COVID"
"437",2021-10-01,"Lowest income quintile","Non-financial assets",1204555,"COVID"
"438",2022-01-01,"Lowest income quintile","Non-financial assets",1352467,"COVID"
"439",2022-04-01,"Lowest income quintile","Non-financial assets",1244861,"COVID"
"440",2022-07-01,"Lowest income quintile","Non-financial assets",1138704,"COVID"
"441",2022-10-01,"Lowest income quintile","Non-financial assets",1239936,"Post-COVID"
"442",2023-01-01,"Lowest income quintile","Non-financial assets",1407726,"Post-COVID"
"443",2023-04-01,"Lowest income quintile","Non-financial assets",1320380,"Post-COVID"
"444",2023-07-01,"Lowest income quintile","Non-financial assets",1257786,"Post-COVID"
"445",2023-10-01,"Lowest income quintile","Non-financial assets",1209599,"Post-COVID"
"446",2024-01-01,"Lowest income quintile","Non-financial assets",1310188,"Post-COVID"
"447",2024-04-01,"Lowest income quintile","Non-financial assets",1249538,"Post-COVID"
"448",2024-07-01,"Lowest income quintile","Non-financial assets",1174191,"Post-COVID"
"449",2017-10-01,"Lowest income quintile","Real estate",410928,"Pre-COVID"
"450",2018-01-01,"Lowest income quintile","Real estate",NA,"Pre-COVID"
"451",2018-04-01,"Lowest income quintile","Real estate",NA,"Pre-COVID"
"452",2018-07-01,"Lowest income quintile","Real estate",NA,"Pre-COVID"
"453",2018-10-01,"Lowest income quintile","Real estate",443755,"Pre-COVID"
"454",2019-01-01,"Lowest income quintile","Real estate",NA,"Pre-COVID"
"455",2019-04-01,"Lowest income quintile","Real estate",NA,"Pre-COVID"
"456",2019-07-01,"Lowest income quintile","Real estate",NA,"Pre-COVID"
"457",2019-10-01,"Lowest income quintile","Real estate",527975,"Pre-COVID"
"458",2020-01-01,"Lowest income quintile","Real estate",673621,"Pre-COVID"
"459",2020-04-01,"Lowest income quintile","Real estate",733947,"COVID"
"460",2020-07-01,"Lowest income quintile","Real estate",754690,"COVID"
"461",2020-10-01,"Lowest income quintile","Real estate",855398,"COVID"
"462",2021-01-01,"Lowest income quintile","Real estate",987419,"COVID"
"463",2021-04-01,"Lowest income quintile","Real estate",981378,"COVID"
"464",2021-07-01,"Lowest income quintile","Real estate",959195,"COVID"
"465",2021-10-01,"Lowest income quintile","Real estate",1087705,"COVID"
"466",2022-01-01,"Lowest income quintile","Real estate",1222135,"COVID"
"467",2022-04-01,"Lowest income quintile","Real estate",1112443,"COVID"
"468",2022-07-01,"Lowest income quintile","Real estate",1013566,"COVID"
"469",2022-10-01,"Lowest income quintile","Real estate",1109487,"Post-COVID"
"470",2023-01-01,"Lowest income quintile","Real estate",1271503,"Post-COVID"
"471",2023-04-01,"Lowest income quintile","Real estate",1186248,"Post-COVID"
"472",2023-07-01,"Lowest income quintile","Real estate",1134475,"Post-COVID"
"473",2023-10-01,"Lowest income quintile","Real estate",1084972,"Post-COVID"
"474",2024-01-01,"Lowest income quintile","Real estate",1177144,"Post-COVID"
"475",2024-04-01,"Lowest income quintile","Real estate",1115778,"Post-COVID"
"476",2024-07-01,"Lowest income quintile","Real estate",1052249,"Post-COVID"
"477",2017-10-01,"Lowest income quintile","Other non-financial assets",49583,"Pre-COVID"
"478",2018-01-01,"Lowest income quintile","Other non-financial assets",NA,"Pre-COVID"
"479",2018-04-01,"Lowest income quintile","Other non-financial assets",NA,"Pre-COVID"
"480",2018-07-01,"Lowest income quintile","Other non-financial assets",NA,"Pre-COVID"
"481",2018-10-01,"Lowest income quintile","Other non-financial assets",59968,"Pre-COVID"
"482",2019-01-01,"Lowest income quintile","Other non-financial assets",NA,"Pre-COVID"
"483",2019-04-01,"Lowest income quintile","Other non-financial assets",NA,"Pre-COVID"
"484",2019-07-01,"Lowest income quintile","Other non-financial assets",NA,"Pre-COVID"
"485",2019-10-01,"Lowest income quintile","Other non-financial assets",69580,"Pre-COVID"
"486",2020-01-01,"Lowest income quintile","Other non-financial assets",81522,"Pre-COVID"
"487",2020-04-01,"Lowest income quintile","Other non-financial assets",88301,"COVID"
"488",2020-07-01,"Lowest income quintile","Other non-financial assets",96732,"COVID"
"489",2020-10-01,"Lowest income quintile","Other non-financial assets",109314,"COVID"
"490",2021-01-01,"Lowest income quintile","Other non-financial assets",114178,"COVID"
"491",2021-04-01,"Lowest income quintile","Other non-financial assets",116856,"COVID"
"492",2021-07-01,"Lowest income quintile","Other non-financial assets",114071,"COVID"
"493",2021-10-01,"Lowest income quintile","Other non-financial assets",116850,"COVID"
"494",2022-01-01,"Lowest income quintile","Other non-financial assets",130332,"COVID"
"495",2022-04-01,"Lowest income quintile","Other non-financial assets",132418,"COVID"
"496",2022-07-01,"Lowest income quintile","Other non-financial assets",125138,"COVID"
"497",2022-10-01,"Lowest income quintile","Other non-financial assets",130449,"Post-COVID"
"498",2023-01-01,"Lowest income quintile","Other non-financial assets",136223,"Post-COVID"
"499",2023-04-01,"Lowest income quintile","Other non-financial assets",134133,"Post-COVID"
"500",2023-07-01,"Lowest income quintile","Other non-financial assets",123310,"Post-COVID"
"501",2023-10-01,"Lowest income quintile","Other non-financial assets",124627,"Post-COVID"
"502",2024-01-01,"Lowest income quintile","Other non-financial assets",133044,"Post-COVID"
"503",2024-04-01,"Lowest income quintile","Other non-financial assets",133761,"Post-COVID"
"504",2024-07-01,"Lowest income quintile","Other non-financial assets",121943,"Post-COVID"
"505",2017-10-01,"Lowest income quintile","Total liabilities",184099,"Pre-COVID"
"506",2018-01-01,"Lowest income quintile","Total liabilities",NA,"Pre-COVID"
"507",2018-04-01,"Lowest income quintile","Total liabilities",NA,"Pre-COVID"
"508",2018-07-01,"Lowest income quintile","Total liabilities",NA,"Pre-COVID"
"509",2018-10-01,"Lowest income quintile","Total liabilities",204742,"Pre-COVID"
"510",2019-01-01,"Lowest income quintile","Total liabilities",NA,"Pre-COVID"
"511",2019-04-01,"Lowest income quintile","Total liabilities",NA,"Pre-COVID"
"512",2019-07-01,"Lowest income quintile","Total liabilities",NA,"Pre-COVID"
"513",2019-10-01,"Lowest income quintile","Total liabilities",235065,"Pre-COVID"
"514",2020-01-01,"Lowest income quintile","Total liabilities",297778,"Pre-COVID"
"515",2020-04-01,"Lowest income quintile","Total liabilities",323143,"COVID"
"516",2020-07-01,"Lowest income quintile","Total liabilities",325906,"COVID"
"517",2020-10-01,"Lowest income quintile","Total liabilities",356011,"COVID"
"518",2021-01-01,"Lowest income quintile","Total liabilities",383542,"COVID"
"519",2021-04-01,"Lowest income quintile","Total liabilities",378878,"COVID"
"520",2021-07-01,"Lowest income quintile","Total liabilities",357857,"COVID"
"521",2021-10-01,"Lowest income quintile","Total liabilities",366071,"COVID"
"522",2022-01-01,"Lowest income quintile","Total liabilities",421907,"COVID"
"523",2022-04-01,"Lowest income quintile","Total liabilities",426292,"COVID"
"524",2022-07-01,"Lowest income quintile","Total liabilities",412307,"COVID"
"525",2022-10-01,"Lowest income quintile","Total liabilities",448946,"Post-COVID"
"526",2023-01-01,"Lowest income quintile","Total liabilities",548751,"Post-COVID"
"527",2023-04-01,"Lowest income quintile","Total liabilities",519171,"Post-COVID"
"528",2023-07-01,"Lowest income quintile","Total liabilities",519445,"Post-COVID"
"529",2023-10-01,"Lowest income quintile","Total liabilities",495435,"Post-COVID"
"530",2024-01-01,"Lowest income quintile","Total liabilities",558251,"Post-COVID"
"531",2024-04-01,"Lowest income quintile","Total liabilities",541764,"Post-COVID"
"532",2024-07-01,"Lowest income quintile","Total liabilities",509225,"Post-COVID"
"533",2017-10-01,"Lowest income quintile","Mortgage liabilities",127281,"Pre-COVID"
"534",2018-01-01,"Lowest income quintile","Mortgage liabilities",NA,"Pre-COVID"
"535",2018-04-01,"Lowest income quintile","Mortgage liabilities",NA,"Pre-COVID"
"536",2018-07-01,"Lowest income quintile","Mortgage liabilities",NA,"Pre-COVID"
"537",2018-10-01,"Lowest income quintile","Mortgage liabilities",143537,"Pre-COVID"
"538",2019-01-01,"Lowest income quintile","Mortgage liabilities",NA,"Pre-COVID"
"539",2019-04-01,"Lowest income quintile","Mortgage liabilities",NA,"Pre-COVID"
"540",2019-07-01,"Lowest income quintile","Mortgage liabilities",NA,"Pre-COVID"
"541",2019-10-01,"Lowest income quintile","Mortgage liabilities",166605,"Pre-COVID"
"542",2020-01-01,"Lowest income quintile","Mortgage liabilities",213506,"Pre-COVID"
"543",2020-04-01,"Lowest income quintile","Mortgage liabilities",227689,"COVID"
"544",2020-07-01,"Lowest income quintile","Mortgage liabilities",234367,"COVID"
"545",2020-10-01,"Lowest income quintile","Mortgage liabilities",257113,"COVID"
"546",2021-01-01,"Lowest income quintile","Mortgage liabilities",279041,"COVID"
"547",2021-04-01,"Lowest income quintile","Mortgage liabilities",275254,"COVID"
"548",2021-07-01,"Lowest income quintile","Mortgage liabilities",259154,"COVID"
"549",2021-10-01,"Lowest income quintile","Mortgage liabilities",267441,"COVID"
"550",2022-01-01,"Lowest income quintile","Mortgage liabilities",311071,"COVID"
"551",2022-04-01,"Lowest income quintile","Mortgage liabilities",314747,"COVID"
"552",2022-07-01,"Lowest income quintile","Mortgage liabilities",309101,"COVID"
"553",2022-10-01,"Lowest income quintile","Mortgage liabilities",340571,"Post-COVID"
"554",2023-01-01,"Lowest income quintile","Mortgage liabilities",425538,"Post-COVID"
"555",2023-04-01,"Lowest income quintile","Mortgage liabilities",397489,"Post-COVID"
"556",2023-07-01,"Lowest income quintile","Mortgage liabilities",402781,"Post-COVID"
"557",2023-10-01,"Lowest income quintile","Mortgage liabilities",383915,"Post-COVID"
"558",2024-01-01,"Lowest income quintile","Mortgage liabilities",437377,"Post-COVID"
"559",2024-04-01,"Lowest income quintile","Mortgage liabilities",420177,"Post-COVID"
"560",2024-07-01,"Lowest income quintile","Mortgage liabilities",397437,"Post-COVID"
"561",2017-10-01,"Lowest income quintile","Other liabilities",56817,"Pre-COVID"
"562",2018-01-01,"Lowest income quintile","Other liabilities",NA,"Pre-COVID"
"563",2018-04-01,"Lowest income quintile","Other liabilities",NA,"Pre-COVID"
"564",2018-07-01,"Lowest income quintile","Other liabilities",NA,"Pre-COVID"
"565",2018-10-01,"Lowest income quintile","Other liabilities",61205,"Pre-COVID"
"566",2019-01-01,"Lowest income quintile","Other liabilities",NA,"Pre-COVID"
"567",2019-04-01,"Lowest income quintile","Other liabilities",NA,"Pre-COVID"
"568",2019-07-01,"Lowest income quintile","Other liabilities",NA,"Pre-COVID"
"569",2019-10-01,"Lowest income quintile","Other liabilities",68460,"Pre-COVID"
"570",2020-01-01,"Lowest income quintile","Other liabilities",84271,"Pre-COVID"
"571",2020-04-01,"Lowest income quintile","Other liabilities",95454,"COVID"
"572",2020-07-01,"Lowest income quintile","Other liabilities",91540,"COVID"
"573",2020-10-01,"Lowest income quintile","Other liabilities",98898,"COVID"
"574",2021-01-01,"Lowest income quintile","Other liabilities",104501,"COVID"
"575",2021-04-01,"Lowest income quintile","Other liabilities",103624,"COVID"
"576",2021-07-01,"Lowest income quintile","Other liabilities",98703,"COVID"
"577",2021-10-01,"Lowest income quintile","Other liabilities",98630,"COVID"
"578",2022-01-01,"Lowest income quintile","Other liabilities",110836,"COVID"
"579",2022-04-01,"Lowest income quintile","Other liabilities",111545,"COVID"
"580",2022-07-01,"Lowest income quintile","Other liabilities",103206,"COVID"
"581",2022-10-01,"Lowest income quintile","Other liabilities",108375,"Post-COVID"
"582",2023-01-01,"Lowest income quintile","Other liabilities",123212,"Post-COVID"
"583",2023-04-01,"Lowest income quintile","Other liabilities",121682,"Post-COVID"
"584",2023-07-01,"Lowest income quintile","Other liabilities",116664,"Post-COVID"
"585",2023-10-01,"Lowest income quintile","Other liabilities",111520,"Post-COVID"
"586",2024-01-01,"Lowest income quintile","Other liabilities",120875,"Post-COVID"
"587",2024-04-01,"Lowest income quintile","Other liabilities",121588,"Post-COVID"
"588",2024-07-01,"Lowest income quintile","Other liabilities",111788,"Post-COVID"
"589",2017-10-01,"Lowest income quintile","Net worth (wealth)",566908,"Pre-COVID"
"590",2018-01-01,"Lowest income quintile","Net worth (wealth)",NA,"Pre-COVID"
"591",2018-04-01,"Lowest income quintile","Net worth (wealth)",NA,"Pre-COVID"
"592",2018-07-01,"Lowest income quintile","Net worth (wealth)",NA,"Pre-COVID"
"593",2018-10-01,"Lowest income quintile","Net worth (wealth)",641365,"Pre-COVID"
"594",2019-01-01,"Lowest income quintile","Net worth (wealth)",NA,"Pre-COVID"
"595",2019-04-01,"Lowest income quintile","Net worth (wealth)",NA,"Pre-COVID"
"596",2019-07-01,"Lowest income quintile","Net worth (wealth)",NA,"Pre-COVID"
"597",2019-10-01,"Lowest income quintile","Net worth (wealth)",808354,"Pre-COVID"
"598",2020-01-01,"Lowest income quintile","Net worth (wealth)",1011219,"Pre-COVID"
"599",2020-04-01,"Lowest income quintile","Net worth (wealth)",1234398,"COVID"
"600",2020-07-01,"Lowest income quintile","Net worth (wealth)",1315578,"COVID"
"601",2020-10-01,"Lowest income quintile","Net worth (wealth)",1509328,"COVID"
"602",2021-01-01,"Lowest income quintile","Net worth (wealth)",1729475,"COVID"
"603",2021-04-01,"Lowest income quintile","Net worth (wealth)",1784590,"COVID"
"604",2021-07-01,"Lowest income quintile","Net worth (wealth)",1687802,"COVID"
"605",2021-10-01,"Lowest income quintile","Net worth (wealth)",1845297,"COVID"
"606",2022-01-01,"Lowest income quintile","Net worth (wealth)",2026846,"COVID"
"607",2022-04-01,"Lowest income quintile","Net worth (wealth)",1828579,"COVID"
"608",2022-07-01,"Lowest income quintile","Net worth (wealth)",1651694,"COVID"
"609",2022-10-01,"Lowest income quintile","Net worth (wealth)",1783406,"Post-COVID"
"610",2023-01-01,"Lowest income quintile","Net worth (wealth)",1933929,"Post-COVID"
"611",2023-04-01,"Lowest income quintile","Net worth (wealth)",1841367,"Post-COVID"
"612",2023-07-01,"Lowest income quintile","Net worth (wealth)",1672036,"Post-COVID"
"613",2023-10-01,"Lowest income quintile","Net worth (wealth)",1695776,"Post-COVID"
"614",2024-01-01,"Lowest income quintile","Net worth (wealth)",1824983,"Post-COVID"
"615",2024-04-01,"Lowest income quintile","Net worth (wealth)",1795838,"Post-COVID"
"616",2024-07-01,"Lowest income quintile","Net worth (wealth)",1682226,"Post-COVID"
"617",2017-10-01,"Second income quintile","Total assets",1331683,"Pre-COVID"
"618",2018-01-01,"Second income quintile","Total assets",NA,"Pre-COVID"
"619",2018-04-01,"Second income quintile","Total assets",NA,"Pre-COVID"
"620",2018-07-01,"Second income quintile","Total assets",NA,"Pre-COVID"
"621",2018-10-01,"Second income quintile","Total assets",1341779,"Pre-COVID"
"622",2019-01-01,"Second income quintile","Total assets",NA,"Pre-COVID"
"623",2019-04-01,"Second income quintile","Total assets",NA,"Pre-COVID"
"624",2019-07-01,"Second income quintile","Total assets",NA,"Pre-COVID"
"625",2019-10-01,"Second income quintile","Total assets",1426828,"Pre-COVID"
"626",2020-01-01,"Second income quintile","Total assets",1383148,"Pre-COVID"
"627",2020-04-01,"Second income quintile","Total assets",1627922,"COVID"
"628",2020-07-01,"Second income quintile","Total assets",1691310,"COVID"
"629",2020-10-01,"Second income quintile","Total assets",1823276,"COVID"
"630",2021-01-01,"Second income quintile","Total assets",1915708,"COVID"
"631",2021-04-01,"Second income quintile","Total assets",2020110,"COVID"
"632",2021-07-01,"Second income quintile","Total assets",2063028,"COVID"
"633",2021-10-01,"Second income quintile","Total assets",2210933,"COVID"
"634",2022-01-01,"Second income quintile","Total assets",2057522,"COVID"
"635",2022-04-01,"Second income quintile","Total assets",1971655,"COVID"
"636",2022-07-01,"Second income quintile","Total assets",2073953,"COVID"
"637",2022-10-01,"Second income quintile","Total assets",2076168,"Post-COVID"
"638",2023-01-01,"Second income quintile","Total assets",1913958,"Post-COVID"
"639",2023-04-01,"Second income quintile","Total assets",2045309,"Post-COVID"
"640",2023-07-01,"Second income quintile","Total assets",2017087,"Post-COVID"
"641",2023-10-01,"Second income quintile","Total assets",2043520,"Post-COVID"
"642",2024-01-01,"Second income quintile","Total assets",1992296,"Post-COVID"
"643",2024-04-01,"Second income quintile","Total assets",2012104,"Post-COVID"
"644",2024-07-01,"Second income quintile","Total assets",2120087,"Post-COVID"
"645",2017-10-01,"Second income quintile","Financial assets",596471,"Pre-COVID"
"646",2018-01-01,"Second income quintile","Financial assets",NA,"Pre-COVID"
"647",2018-04-01,"Second income quintile","Financial assets",NA,"Pre-COVID"
"648",2018-07-01,"Second income quintile","Financial assets",NA,"Pre-COVID"
"649",2018-10-01,"Second income quintile","Financial assets",586108,"Pre-COVID"
"650",2019-01-01,"Second income quintile","Financial assets",NA,"Pre-COVID"
"651",2019-04-01,"Second income quintile","Financial assets",NA,"Pre-COVID"
"652",2019-07-01,"Second income quintile","Financial assets",NA,"Pre-COVID"
"653",2019-10-01,"Second income quintile","Financial assets",639201,"Pre-COVID"
"654",2020-01-01,"Second income quintile","Financial assets",595584,"Pre-COVID"
"655",2020-04-01,"Second income quintile","Financial assets",775921,"COVID"
"656",2020-07-01,"Second income quintile","Financial assets",826105,"COVID"
"657",2020-10-01,"Second income quintile","Financial assets",910519,"COVID"
"658",2021-01-01,"Second income quintile","Financial assets",944100,"COVID"
"659",2021-04-01,"Second income quintile","Financial assets",994645,"COVID"
"660",2021-07-01,"Second income quintile","Financial assets",951092,"COVID"
"661",2021-10-01,"Second income quintile","Financial assets",1036298,"COVID"
"662",2022-01-01,"Second income quintile","Financial assets",929510,"COVID"
"663",2022-04-01,"Second income quintile","Financial assets",909368,"COVID"
"664",2022-07-01,"Second income quintile","Financial assets",932389,"COVID"
"665",2022-10-01,"Second income quintile","Financial assets",982944,"Post-COVID"
"666",2023-01-01,"Second income quintile","Financial assets",899937,"Post-COVID"
"667",2023-04-01,"Second income quintile","Financial assets",959456,"Post-COVID"
"668",2023-07-01,"Second income quintile","Financial assets",932781,"Post-COVID"
"669",2023-10-01,"Second income quintile","Financial assets",933669,"Post-COVID"
"670",2024-01-01,"Second income quintile","Financial assets",927847,"Post-COVID"
"671",2024-04-01,"Second income quintile","Financial assets",968549,"Post-COVID"
"672",2024-07-01,"Second income quintile","Financial assets",1024731,"Post-COVID"
"673",2017-10-01,"Second income quintile","Life insurance and pensions",231045,"Pre-COVID"
"674",2018-01-01,"Second income quintile","Life insurance and pensions",NA,"Pre-COVID"
"675",2018-04-01,"Second income quintile","Life insurance and pensions",NA,"Pre-COVID"
"676",2018-07-01,"Second income quintile","Life insurance and pensions",NA,"Pre-COVID"
"677",2018-10-01,"Second income quintile","Life insurance and pensions",228560,"Pre-COVID"
"678",2019-01-01,"Second income quintile","Life insurance and pensions",NA,"Pre-COVID"
"679",2019-04-01,"Second income quintile","Life insurance and pensions",NA,"Pre-COVID"
"680",2019-07-01,"Second income quintile","Life insurance and pensions",NA,"Pre-COVID"
"681",2019-10-01,"Second income quintile","Life insurance and pensions",251680,"Pre-COVID"
"682",2020-01-01,"Second income quintile","Life insurance and pensions",243105,"Pre-COVID"
"683",2020-04-01,"Second income quintile","Life insurance and pensions",333158,"COVID"
"684",2020-07-01,"Second income quintile","Life insurance and pensions",336331,"COVID"
"685",2020-10-01,"Second income quintile","Life insurance and pensions",347357,"COVID"
"686",2021-01-01,"Second income quintile","Life insurance and pensions",359349,"COVID"
"687",2021-04-01,"Second income quintile","Life insurance and pensions",374548,"COVID"
"688",2021-07-01,"Second income quintile","Life insurance and pensions",349826,"COVID"
"689",2021-10-01,"Second income quintile","Life insurance and pensions",372839,"COVID"
"690",2022-01-01,"Second income quintile","Life insurance and pensions",325043,"COVID"
"691",2022-04-01,"Second income quintile","Life insurance and pensions",316507,"COVID"
"692",2022-07-01,"Second income quintile","Life insurance and pensions",315196,"COVID"
"693",2022-10-01,"Second income quintile","Life insurance and pensions",340878,"Post-COVID"
"694",2023-01-01,"Second income quintile","Life insurance and pensions",317559,"Post-COVID"
"695",2023-04-01,"Second income quintile","Life insurance and pensions",339233,"Post-COVID"
"696",2023-07-01,"Second income quintile","Life insurance and pensions",335006,"Post-COVID"
"697",2023-10-01,"Second income quintile","Life insurance and pensions",352517,"Post-COVID"
"698",2024-01-01,"Second income quintile","Life insurance and pensions",349586,"Post-COVID"
"699",2024-04-01,"Second income quintile","Life insurance and pensions",367576,"Post-COVID"
"700",2024-07-01,"Second income quintile","Life insurance and pensions",376804,"Post-COVID"
"701",2017-10-01,"Second income quintile","Other financial assets",365427,"Pre-COVID"
"702",2018-01-01,"Second income quintile","Other financial assets",NA,"Pre-COVID"
"703",2018-04-01,"Second income quintile","Other financial assets",NA,"Pre-COVID"
"704",2018-07-01,"Second income quintile","Other financial assets",NA,"Pre-COVID"
"705",2018-10-01,"Second income quintile","Other financial assets",357548,"Pre-COVID"
"706",2019-01-01,"Second income quintile","Other financial assets",NA,"Pre-COVID"
"707",2019-04-01,"Second income quintile","Other financial assets",NA,"Pre-COVID"
"708",2019-07-01,"Second income quintile","Other financial assets",NA,"Pre-COVID"
"709",2019-10-01,"Second income quintile","Other financial assets",387521,"Pre-COVID"
"710",2020-01-01,"Second income quintile","Other financial assets",352479,"Pre-COVID"
"711",2020-04-01,"Second income quintile","Other financial assets",442764,"COVID"
"712",2020-07-01,"Second income quintile","Other financial assets",489774,"COVID"
"713",2020-10-01,"Second income quintile","Other financial assets",563161,"COVID"
"714",2021-01-01,"Second income quintile","Other financial assets",584751,"COVID"
"715",2021-04-01,"Second income quintile","Other financial assets",620098,"COVID"
"716",2021-07-01,"Second income quintile","Other financial assets",601266,"COVID"
"717",2021-10-01,"Second income quintile","Other financial assets",663459,"COVID"
"718",2022-01-01,"Second income quintile","Other financial assets",604467,"COVID"
"719",2022-04-01,"Second income quintile","Other financial assets",592861,"COVID"
"720",2022-07-01,"Second income quintile","Other financial assets",617193,"COVID"
"721",2022-10-01,"Second income quintile","Other financial assets",642066,"Post-COVID"
"722",2023-01-01,"Second income quintile","Other financial assets",582378,"Post-COVID"
"723",2023-04-01,"Second income quintile","Other financial assets",620224,"Post-COVID"
"724",2023-07-01,"Second income quintile","Other financial assets",597775,"Post-COVID"
"725",2023-10-01,"Second income quintile","Other financial assets",581152,"Post-COVID"
"726",2024-01-01,"Second income quintile","Other financial assets",578261,"Post-COVID"
"727",2024-04-01,"Second income quintile","Other financial assets",600973,"Post-COVID"
"728",2024-07-01,"Second income quintile","Other financial assets",647927,"Post-COVID"
"729",2017-10-01,"Second income quintile","Non-financial assets",735211,"Pre-COVID"
"730",2018-01-01,"Second income quintile","Non-financial assets",NA,"Pre-COVID"
"731",2018-04-01,"Second income quintile","Non-financial assets",NA,"Pre-COVID"
"732",2018-07-01,"Second income quintile","Non-financial assets",NA,"Pre-COVID"
"733",2018-10-01,"Second income quintile","Non-financial assets",755671,"Pre-COVID"
"734",2019-01-01,"Second income quintile","Non-financial assets",NA,"Pre-COVID"
"735",2019-04-01,"Second income quintile","Non-financial assets",NA,"Pre-COVID"
"736",2019-07-01,"Second income quintile","Non-financial assets",NA,"Pre-COVID"
"737",2019-10-01,"Second income quintile","Non-financial assets",787627,"Pre-COVID"
"738",2020-01-01,"Second income quintile","Non-financial assets",787564,"Pre-COVID"
"739",2020-04-01,"Second income quintile","Non-financial assets",852001,"COVID"
"740",2020-07-01,"Second income quintile","Non-financial assets",865205,"COVID"
"741",2020-10-01,"Second income quintile","Non-financial assets",912757,"COVID"
"742",2021-01-01,"Second income quintile","Non-financial assets",971608,"COVID"
"743",2021-04-01,"Second income quintile","Non-financial assets",1025465,"COVID"
"744",2021-07-01,"Second income quintile","Non-financial assets",1111936,"COVID"
"745",2021-10-01,"Second income quintile","Non-financial assets",1174635,"COVID"
"746",2022-01-01,"Second income quintile","Non-financial assets",1128012,"COVID"
"747",2022-04-01,"Second income quintile","Non-financial assets",1062287,"COVID"
"748",2022-07-01,"Second income quintile","Non-financial assets",1141564,"COVID"
"749",2022-10-01,"Second income quintile","Non-financial assets",1093225,"Post-COVID"
"750",2023-01-01,"Second income quintile","Non-financial assets",1014021,"Post-COVID"
"751",2023-04-01,"Second income quintile","Non-financial assets",1085852,"Post-COVID"
"752",2023-07-01,"Second income quintile","Non-financial assets",1084307,"Post-COVID"
"753",2023-10-01,"Second income quintile","Non-financial assets",1109851,"Post-COVID"
"754",2024-01-01,"Second income quintile","Non-financial assets",1064449,"Post-COVID"
"755",2024-04-01,"Second income quintile","Non-financial assets",1043555,"Post-COVID"
"756",2024-07-01,"Second income quintile","Non-financial assets",1095356,"Post-COVID"
"757",2017-10-01,"Second income quintile","Real estate",633140,"Pre-COVID"
"758",2018-01-01,"Second income quintile","Real estate",NA,"Pre-COVID"
"759",2018-04-01,"Second income quintile","Real estate",NA,"Pre-COVID"
"760",2018-07-01,"Second income quintile","Real estate",NA,"Pre-COVID"
"761",2018-10-01,"Second income quintile","Real estate",653545,"Pre-COVID"
"762",2019-01-01,"Second income quintile","Real estate",NA,"Pre-COVID"
"763",2019-04-01,"Second income quintile","Real estate",NA,"Pre-COVID"
"764",2019-07-01,"Second income quintile","Real estate",NA,"Pre-COVID"
"765",2019-10-01,"Second income quintile","Real estate",684241,"Pre-COVID"
