"","REF_DATE","City","Province","Components.of.population.growth","VALUE","Type.of.area","covid"
"4914","2023/2024","Small Towns","NT","Deaths",213,"Small Towns","Post-COVID"
"4915","2017/2018","Small Towns","NT","Immigrants",35,"Small Towns","Pre-COVID"
"4916","2018/2019","Small Towns","NT","Immigrants",23,"Small Towns","Pre-COVID"
"4917","2019/2020","Small Towns","NT","Immigrants",32,"Small Towns","Pre-COVID"
"4918","2020/2021","Small Towns","NT","Immigrants",13,"Small Towns","COVID"
"4919","2021/2022","Small Towns","NT","Immigrants",64,"Small Towns","COVID"
"4920","2022/2023","Small Towns","NT","Immigrants",32,"Small Towns","Post-COVID"
"4921","2023/2024","Small Towns","NT","Immigrants",48,"Small Towns","Post-COVID"
"4922","2017/2018","Small Towns","NT","Emigrants",15,"Small Towns","Pre-COVID"
"4923","2018/2019","Small Towns","NT","Emigrants",4,"Small Towns","Pre-COVID"
"4924","2019/2020","Small Towns","NT","Emigrants",8,"Small Towns","Pre-COVID"
"4925","2020/2021","Small Towns","NT","Emigrants",0,"Small Towns","COVID"
"4926","2021/2022","Small Towns","NT","Emigrants",0,"Small Towns","COVID"
"4927","2022/2023","Small Towns","NT","Emigrants",0,"Small Towns","Post-COVID"
"4928","2023/2024","Small Towns","NT","Emigrants",0,"Small Towns","Post-COVID"
"4929","2017/2018","Small Towns","NU","Births",928,"Small Towns","Pre-COVID"
"4930","2018/2019","Small Towns","NU","Births",902,"Small Towns","Pre-COVID"
"4931","2019/2020","Small Towns","NU","Births",876,"Small Towns","Pre-COVID"
"4932","2020/2021","Small Towns","NU","Births",915,"Small Towns","COVID"
"4933","2021/2022","Small Towns","NU","Births",768,"Small Towns","COVID"
"4934","2022/2023","Small Towns","NU","Births",772,"Small Towns","Post-COVID"
"4935","2023/2024","Small Towns","NU","Births",798,"Small Towns","Post-COVID"
"4936","2017/2018","Small Towns","NU","Deaths",181,"Small Towns","Pre-COVID"
"4937","2018/2019","Small Towns","NU","Deaths",231,"Small Towns","Pre-COVID"
"4938","2019/2020","Small Towns","NU","Deaths",209,"Small Towns","Pre-COVID"
"4939","2020/2021","Small Towns","NU","Deaths",201,"Small Towns","COVID"
"4940","2021/2022","Small Towns","NU","Deaths",218,"Small Towns","COVID"
"4941","2022/2023","Small Towns","NU","Deaths",221,"Small Towns","Post-COVID"
"4942","2023/2024","Small Towns","NU","Deaths",225,"Small Towns","Post-COVID"
"4943","2017/2018","Small Towns","NU","Immigrants",31,"Small Towns","Pre-COVID"
"4944","2018/2019","Small Towns","NU","Immigrants",25,"Small Towns","Pre-COVID"
"4945","2019/2020","Small Towns","NU","Immigrants",39,"Small Towns","Pre-COVID"
"4946","2020/2021","Small Towns","NU","Immigrants",21,"Small Towns","COVID"
"4947","2021/2022","Small Towns","NU","Immigrants",53,"Small Towns","COVID"
"4948","2022/2023","Small Towns","NU","Immigrants",45,"Small Towns","Post-COVID"
"4949","2023/2024","Small Towns","NU","Immigrants",56,"Small Towns","Post-COVID"
"4950","2017/2018","Small Towns","NU","Emigrants",0,"Small Towns","Pre-COVID"
"4951","2018/2019","Small Towns","NU","Emigrants",0,"Small Towns","Pre-COVID"
"4952","2019/2020","Small Towns","NU","Emigrants",2,"Small Towns","Pre-COVID"
"4953","2020/2021","Small Towns","NU","Emigrants",4,"Small Towns","COVID"
"4954","2021/2022","Small Towns","NU","Emigrants",23,"Small Towns","COVID"
"4955","2022/2023","Small Towns","NU","Emigrants",39,"Small Towns","Post-COVID"
"4956","2023/2024","Small Towns","NU","Emigrants",40,"Small Towns","Post-COVID"
"4957","2017/2018","Total CMA and CA","NL","Births",2360,"Total CMA and CA","Pre-COVID"
"4958","2018/2019","Total CMA and CA","NL","Births",2296,"Total CMA and CA","Pre-COVID"
"4959","2019/2020","Total CMA and CA","NL","Births",2212,"Total CMA and CA","Pre-COVID"
"4960","2020/2021","Total CMA and CA","NL","Births",2218,"Total CMA and CA","COVID"
"4961","2021/2022","Total CMA and CA","NL","Births",2310,"Total CMA and CA","COVID"
"4962","2022/2023","Total CMA and CA","NL","Births",2033,"Total CMA and CA","Post-COVID"
"4963","2023/2024","Total CMA and CA","NL","Births",1990,"Total CMA and CA","Post-COVID"
"4964","2017/2018","Total CMA and CA","NL","Deaths",2342,"Total CMA and CA","Pre-COVID"
"4965","2018/2019","Total CMA and CA","NL","Deaths",2325,"Total CMA and CA","Pre-COVID"
"4966","2019/2020","Total CMA and CA","NL","Deaths",2409,"Total CMA and CA","Pre-COVID"
"4967","2020/2021","Total CMA and CA","NL","Deaths",2482,"Total CMA and CA","COVID"
"4968","2021/2022","Total CMA and CA","NL","Deaths",2839,"Total CMA and CA","COVID"
"4969","2022/2023","Total CMA and CA","NL","Deaths",2868,"Total CMA and CA","Post-COVID"
"4970","2023/2024","Total CMA and CA","NL","Deaths",2938,"Total CMA and CA","Post-COVID"
"4971","2017/2018","Total CMA and CA","NL","Immigrants",985,"Total CMA and CA","Pre-COVID"
"4972","2018/2019","Total CMA and CA","NL","Immigrants",1262,"Total CMA and CA","Pre-COVID"
"4973","2019/2020","Total CMA and CA","NL","Immigrants",1180,"Total CMA and CA","Pre-COVID"
"4974","2020/2021","Total CMA and CA","NL","Immigrants",734,"Total CMA and CA","COVID"
"4975","2021/2022","Total CMA and CA","NL","Immigrants",2408,"Total CMA and CA","COVID"
"4976","2022/2023","Total CMA and CA","NL","Immigrants",4359,"Total CMA and CA","Post-COVID"
"4977","2023/2024","Total CMA and CA","NL","Immigrants",4315,"Total CMA and CA","Post-COVID"
"4978","2017/2018","Total CMA and CA","NL","Emigrants",238,"Total CMA and CA","Pre-COVID"
"4979","2018/2019","Total CMA and CA","NL","Emigrants",312,"Total CMA and CA","Pre-COVID"
"4980","2019/2020","Total CMA and CA","NL","Emigrants",218,"Total CMA and CA","Pre-COVID"
"4981","2020/2021","Total CMA and CA","NL","Emigrants",271,"Total CMA and CA","COVID"
"4982","2021/2022","Total CMA and CA","NL","Emigrants",307,"Total CMA and CA","COVID"
"4983","2022/2023","Total CMA and CA","NL","Emigrants",207,"Total CMA and CA","Post-COVID"
"4984","2023/2024","Total CMA and CA","NL","Emigrants",212,"Total CMA and CA","Post-COVID"
"4985","2017/2018","Total CMA","NL","Births",1877,"Total CMA","Pre-COVID"
"4986","2018/2019","Total CMA","NL","Births",1878,"Total CMA","Pre-COVID"
"4987","2019/2020","Total CMA","NL","Births",1816,"Total CMA","Pre-COVID"
"4988","2020/2021","Total CMA","NL","Births",1803,"Total CMA","COVID"
"4989","2021/2022","Total CMA","NL","Births",1874,"Total CMA","COVID"
"4990","2022/2023","Total CMA","NL","Births",1639,"Total CMA","Post-COVID"
"4991","2023/2024","Total CMA","NL","Births",1605,"Total CMA","Post-COVID"
"4992","2017/2018","Total CMA","NL","Deaths",1698,"Total CMA","Pre-COVID"
"4993","2018/2019","Total CMA","NL","Deaths",1738,"Total CMA","Pre-COVID"
"4994","2019/2020","Total CMA","NL","Deaths",1733,"Total CMA","Pre-COVID"
"4995","2020/2021","Total CMA","NL","Deaths",1806,"Total CMA","COVID"
"4996","2021/2022","Total CMA","NL","Deaths",2075,"Total CMA","COVID"
"4997","2022/2023","Total CMA","NL","Deaths",2050,"Total CMA","Post-COVID"
"4998","2023/2024","Total CMA","NL","Deaths",2097,"Total CMA","Post-COVID"
"4999","2017/2018","Total CMA","NL","Immigrants",882,"Total CMA","Pre-COVID"
"5000","2018/2019","Total CMA","NL","Immigrants",1134,"Total CMA","Pre-COVID"
"5001","2019/2020","Total CMA","NL","Immigrants",1039,"Total CMA","Pre-COVID"
"5002","2020/2021","Total CMA","NL","Immigrants",652,"Total CMA","COVID"
"5003","2021/2022","Total CMA","NL","Immigrants",2134,"Total CMA","COVID"
"5004","2022/2023","Total CMA","NL","Immigrants",3870,"Total CMA","Post-COVID"
"5005","2023/2024","Total CMA","NL","Immigrants",3850,"Total CMA","Post-COVID"
"5006","2017/2018","Total CMA","NL","Emigrants",193,"Total CMA","Pre-COVID"
"5007","2018/2019","Total CMA","NL","Emigrants",266,"Total CMA","Pre-COVID"
"5008","2019/2020","Total CMA","NL","Emigrants",183,"Total CMA","Pre-COVID"
"5009","2020/2021","Total CMA","NL","Emigrants",258,"Total CMA","COVID"
"5010","2021/2022","Total CMA","NL","Emigrants",272,"Total CMA","COVID"
"5011","2022/2023","Total CMA","NL","Emigrants",170,"Total CMA","Post-COVID"
"5012","2023/2024","Total CMA","NL","Emigrants",172,"Total CMA","Post-COVID"
"5013","2017/2018","Total CA","NL","Births",483,"Total CA","Pre-COVID"
"5014","2018/2019","Total CA","NL","Births",418,"Total CA","Pre-COVID"
"5015","2019/2020","Total CA","NL","Births",396,"Total CA","Pre-COVID"
"5016","2020/2021","Total CA","NL","Births",415,"Total CA","COVID"
"5017","2021/2022","Total CA","NL","Births",436,"Total CA","COVID"
"5018","2022/2023","Total CA","NL","Births",394,"Total CA","Post-COVID"
"5019","2023/2024","Total CA","NL","Births",385,"Total CA","Post-COVID"
"5020","2017/2018","Total CA","NL","Deaths",644,"Total CA","Pre-COVID"
"5021","2018/2019","Total CA","NL","Deaths",587,"Total CA","Pre-COVID"
"5022","2019/2020","Total CA","NL","Deaths",676,"Total CA","Pre-COVID"
"5023","2020/2021","Total CA","NL","Deaths",676,"Total CA","COVID"
"5024","2021/2022","Total CA","NL","Deaths",764,"Total CA","COVID"
"5025","2022/2023","Total CA","NL","Deaths",818,"Total CA","Post-COVID"
"5026","2023/2024","Total CA","NL","Deaths",841,"Total CA","Post-COVID"
"5027","2017/2018","Total CA","NL","Immigrants",103,"Total CA","Pre-COVID"
"5028","2018/2019","Total CA","NL","Immigrants",128,"Total CA","Pre-COVID"
"5029","2019/2020","Total CA","NL","Immigrants",141,"Total CA","Pre-COVID"
"5030","2020/2021","Total CA","NL","Immigrants",82,"Total CA","COVID"
"5031","2021/2022","Total CA","NL","Immigrants",274,"Total CA","COVID"
"5032","2022/2023","Total CA","NL","Immigrants",489,"Total CA","Post-COVID"
"5033","2023/2024","Total CA","NL","Immigrants",465,"Total CA","Post-COVID"
"5034","2017/2018","Total CA","NL","Emigrants",45,"Total CA","Pre-COVID"
"5035","2018/2019","Total CA","NL","Emigrants",46,"Total CA","Pre-COVID"
"5036","2019/2020","Total CA","NL","Emigrants",35,"Total CA","Pre-COVID"
"5037","2020/2021","Total CA","NL","Emigrants",13,"Total CA","COVID"
"5038","2021/2022","Total CA","NL","Emigrants",35,"Total CA","COVID"
"5039","2022/2023","Total CA","NL","Emigrants",37,"Total CA","Post-COVID"
"5040","2023/2024","Total CA","NL","Emigrants",40,"Total CA","Post-COVID"
"5041","2017/2018","Total CMA and CA","PE","Births",835,"Total CMA and CA","Pre-COVID"
"5042","2018/2019","Total CMA and CA","PE","Births",823,"Total CMA and CA","Pre-COVID"
"5043","2019/2020","Total CMA and CA","PE","Births",815,"Total CMA and CA","Pre-COVID"
"5044","2020/2021","Total CMA and CA","PE","Births",893,"Total CMA and CA","COVID"
"5045","2021/2022","Total CMA and CA","PE","Births",837,"Total CMA and CA","COVID"
"5046","2022/2023","Total CMA and CA","PE","Births",794,"Total CMA and CA","Post-COVID"
"5047","2023/2024","Total CMA and CA","PE","Births",854,"Total CMA and CA","Post-COVID"
"5048","2017/2018","Total CMA and CA","PE","Deaths",819,"Total CMA and CA","Pre-COVID"
"5049","2018/2019","Total CMA and CA","PE","Deaths",817,"Total CMA and CA","Pre-COVID"
"5050","2019/2020","Total CMA and CA","PE","Deaths",883,"Total CMA and CA","Pre-COVID"
"5051","2020/2021","Total CMA and CA","PE","Deaths",844,"Total CMA and CA","COVID"
"5052","2021/2022","Total CMA and CA","PE","Deaths",940,"Total CMA and CA","COVID"
"5053","2022/2023","Total CMA and CA","PE","Deaths",991,"Total CMA and CA","Post-COVID"
"5054","2023/2024","Total CMA and CA","PE","Deaths",1027,"Total CMA and CA","Post-COVID"
"5055","2017/2018","Total CMA and CA","PE","Immigrants",1906,"Total CMA and CA","Pre-COVID"
"5056","2018/2019","Total CMA and CA","PE","Immigrants",1959,"Total CMA and CA","Pre-COVID"
"5057","2019/2020","Total CMA and CA","PE","Immigrants",1792,"Total CMA and CA","Pre-COVID"
"5058","2020/2021","Total CMA and CA","PE","Immigrants",1032,"Total CMA and CA","COVID"
"5059","2021/2022","Total CMA and CA","PE","Immigrants",2890,"Total CMA and CA","COVID"
"5060","2022/2023","Total CMA and CA","PE","Immigrants",2531,"Total CMA and CA","Post-COVID"
"5061","2023/2024","Total CMA and CA","PE","Immigrants",3460,"Total CMA and CA","Post-COVID"
"5062","2017/2018","Total CMA and CA","PE","Emigrants",68,"Total CMA and CA","Pre-COVID"
"5063","2018/2019","Total CMA and CA","PE","Emigrants",188,"Total CMA and CA","Pre-COVID"
"5064","2019/2020","Total CMA and CA","PE","Emigrants",46,"Total CMA and CA","Pre-COVID"
"5065","2020/2021","Total CMA and CA","PE","Emigrants",100,"Total CMA and CA","COVID"
"5066","2021/2022","Total CMA and CA","PE","Emigrants",83,"Total CMA and CA","COVID"
"5067","2022/2023","Total CMA and CA","PE","Emigrants",123,"Total CMA and CA","Post-COVID"
"5068","2023/2024","Total CMA and CA","PE","Emigrants",126,"Total CMA and CA","Post-COVID"
"5069","2017/2018","Total CA","PE","Births",835,"Total CA","Pre-COVID"
"5070","2018/2019","Total CA","PE","Births",823,"Total CA","Pre-COVID"
"5071","2019/2020","Total CA","PE","Births",815,"Total CA","Pre-COVID"
"5072","2020/2021","Total CA","PE","Births",893,"Total CA","COVID"
"5073","2021/2022","Total CA","PE","Births",837,"Total CA","COVID"
"5074","2022/2023","Total CA","PE","Births",794,"Total CA","Post-COVID"
"5075","2023/2024","Total CA","PE","Births",854,"Total CA","Post-COVID"
"5076","2017/2018","Total CA","PE","Deaths",819,"Total CA","Pre-COVID"
"5077","2018/2019","Total CA","PE","Deaths",817,"Total CA","Pre-COVID"
"5078","2019/2020","Total CA","PE","Deaths",883,"Total CA","Pre-COVID"
"5079","2020/2021","Total CA","PE","Deaths",844,"Total CA","COVID"
"5080","2021/2022","Total CA","PE","Deaths",940,"Total CA","COVID"
"5081","2022/2023","Total CA","PE","Deaths",991,"Total CA","Post-COVID"
"5082","2023/2024","Total CA","PE","Deaths",1027,"Total CA","Post-COVID"
"5083","2017/2018","Total CA","PE","Immigrants",1906,"Total CA","Pre-COVID"
"5084","2018/2019","Total CA","PE","Immigrants",1959,"Total CA","Pre-COVID"
"5085","2019/2020","Total CA","PE","Immigrants",1792,"Total CA","Pre-COVID"
"5086","2020/2021","Total CA","PE","Immigrants",1032,"Total CA","COVID"
"5087","2021/2022","Total CA","PE","Immigrants",2890,"Total CA","COVID"
"5088","2022/2023","Total CA","PE","Immigrants",2531,"Total CA","Post-COVID"
"5089","2023/2024","Total CA","PE","Immigrants",3460,"Total CA","Post-COVID"
"5090","2017/2018","Total CA","PE","Emigrants",68,"Total CA","Pre-COVID"
"5091","2018/2019","Total CA","PE","Emigrants",188,"Total CA","Pre-COVID"
"5092","2019/2020","Total CA","PE","Emigrants",46,"Total CA","Pre-COVID"
"5093","2020/2021","Total CA","PE","Emigrants",100,"Total CA","COVID"
"5094","2021/2022","Total CA","PE","Emigrants",83,"Total CA","COVID"
"5095","2022/2023","Total CA","PE","Emigrants",123,"Total CA","Post-COVID"
"5096","2023/2024","Total CA","PE","Emigrants",126,"Total CA","Post-COVID"
"5097","2017/2018","Total CMA and CA","NS","Births",5821,"Total CMA and CA","Pre-COVID"
"5098","2018/2019","Total CMA and CA","NS","Births",5672,"Total CMA and CA","Pre-COVID"
"5099","2019/2020","Total CMA and CA","NS","Births",5800,"Total CMA and CA","Pre-COVID"
"5100","2020/2021","Total CMA and CA","NS","Births",5628,"Total CMA and CA","COVID"
"5101","2021/2022","Total CMA and CA","NS","Births",5745,"Total CMA and CA","COVID"
"5102","2022/2023","Total CMA and CA","NS","Births",5336,"Total CMA and CA","Post-COVID"
"5103","2023/2024","Total CMA and CA","NS","Births",5404,"Total CMA and CA","Post-COVID"
"5104","2017/2018","Total CMA and CA","NS","Deaths",6028,"Total CMA and CA","Pre-COVID"
"5105","2018/2019","Total CMA and CA","NS","Deaths",6021,"Total CMA and CA","Pre-COVID"
"5106","2019/2020","Total CMA and CA","NS","Deaths",6205,"Total CMA and CA","Pre-COVID"
"5107","2020/2021","Total CMA and CA","NS","Deaths",6215,"Total CMA and CA","COVID"
"5108","2021/2022","Total CMA and CA","NS","Deaths",6608,"Total CMA and CA","COVID"
"5109","2022/2023","Total CMA and CA","NS","Deaths",7071,"Total CMA and CA","Post-COVID"
"5110","2023/2024","Total CMA and CA","NS","Deaths",7257,"Total CMA and CA","Post-COVID"
"5111","2017/2018","Total CMA and CA","NS","Immigrants",4720,"Total CMA and CA","Pre-COVID"
"5112","2018/2019","Total CMA and CA","NS","Immigrants",5894,"Total CMA and CA","Pre-COVID"
"5113","2019/2020","Total CMA and CA","NS","Immigrants",5735,"Total CMA and CA","Pre-COVID"
"5114","2020/2021","Total CMA and CA","NS","Immigrants",3184,"Total CMA and CA","COVID"
"5115","2021/2022","Total CMA and CA","NS","Immigrants",12415,"Total CMA and CA","COVID"
"5116","2022/2023","Total CMA and CA","NS","Immigrants",11089,"Total CMA and CA","Post-COVID"
"5117","2023/2024","Total CMA and CA","NS","Immigrants",11902,"Total CMA and CA","Post-COVID"
"5118","2017/2018","Total CMA and CA","NS","Emigrants",1585,"Total CMA and CA","Pre-COVID"
"5119","2018/2019","Total CMA and CA","NS","Emigrants",982,"Total CMA and CA","Pre-COVID"
"5120","2019/2020","Total CMA and CA","NS","Emigrants",840,"Total CMA and CA","Pre-COVID"
"5121","2020/2021","Total CMA and CA","NS","Emigrants",646,"Total CMA and CA","COVID"
"5122","2021/2022","Total CMA and CA","NS","Emigrants",970,"Total CMA and CA","COVID"
"5123","2022/2023","Total CMA and CA","NS","Emigrants",1046,"Total CMA and CA","Post-COVID"
"5124","2023/2024","Total CMA and CA","NS","Emigrants",1071,"Total CMA and CA","Post-COVID"
"5125","2017/2018","Total CMA","NS","Births",4074,"Total CMA","Pre-COVID"
"5126","2018/2019","Total CMA","NS","Births",4100,"Total CMA","Pre-COVID"
"5127","2019/2020","Total CMA","NS","Births",4166,"Total CMA","Pre-COVID"
"5128","2020/2021","Total CMA","NS","Births",4064,"Total CMA","COVID"
"5129","2021/2022","Total CMA","NS","Births",4138,"Total CMA","COVID"
"5130","2022/2023","Total CMA","NS","Births",3884,"Total CMA","Post-COVID"
"5131","2023/2024","Total CMA","NS","Births",3934,"Total CMA","Post-COVID"
"5132","2017/2018","Total CMA","NS","Deaths",3526,"Total CMA","Pre-COVID"
"5133","2018/2019","Total CMA","NS","Deaths",3531,"Total CMA","Pre-COVID"
"5134","2019/2020","Total CMA","NS","Deaths",3607,"Total CMA","Pre-COVID"
"5135","2020/2021","Total CMA","NS","Deaths",3599,"Total CMA","COVID"
"5136","2021/2022","Total CMA","NS","Deaths",3674,"Total CMA","COVID"
"5137","2022/2023","Total CMA","NS","Deaths",4125,"Total CMA","Post-COVID"
"5138","2023/2024","Total CMA","NS","Deaths",4229,"Total CMA","Post-COVID"
"5139","2017/2018","Total CMA","NS","Immigrants",4397,"Total CMA","Pre-COVID"
"5140","2018/2019","Total CMA","NS","Immigrants",5454,"Total CMA","Pre-COVID"
"5141","2019/2020","Total CMA","NS","Immigrants",5190,"Total CMA","Pre-COVID"
"5142","2020/2021","Total CMA","NS","Immigrants",2874,"Total CMA","COVID"
"5143","2021/2022","Total CMA","NS","Immigrants",10860,"Total CMA","COVID"
"5144","2022/2023","Total CMA","NS","Immigrants",9700,"Total CMA","Post-COVID"
"5145","2023/2024","Total CMA","NS","Immigrants",10175,"Total CMA","Post-COVID"
"5146","2017/2018","Total CMA","NS","Emigrants",1393,"Total CMA","Pre-COVID"
"5147","2018/2019","Total CMA","NS","Emigrants",871,"Total CMA","Pre-COVID"
"5148","2019/2020","Total CMA","NS","Emigrants",756,"Total CMA","Pre-COVID"
"5149","2020/2021","Total CMA","NS","Emigrants",572,"Total CMA","COVID"
"5150","2021/2022","Total CMA","NS","Emigrants",840,"Total CMA","COVID"
"5151","2022/2023","Total CMA","NS","Emigrants",906,"Total CMA","Post-COVID"
"5152","2023/2024","Total CMA","NS","Emigrants",929,"Total CMA","Post-COVID"
"5153","2017/2018","Total CA","NS","Births",1747,"Total CA","Pre-COVID"
"5154","2018/2019","Total CA","NS","Births",1572,"Total CA","Pre-COVID"
"5155","2019/2020","Total CA","NS","Births",1634,"Total CA","Pre-COVID"
"5156","2020/2021","Total CA","NS","Births",1564,"Total CA","COVID"
"5157","2021/2022","Total CA","NS","Births",1607,"Total CA","COVID"
"5158","2022/2023","Total CA","NS","Births",1452,"Total CA","Post-COVID"
"5159","2023/2024","Total CA","NS","Births",1470,"Total CA","Post-COVID"
"5160","2017/2018","Total CA","NS","Deaths",2502,"Total CA","Pre-COVID"
"5161","2018/2019","Total CA","NS","Deaths",2490,"Total CA","Pre-COVID"
"5162","2019/2020","Total CA","NS","Deaths",2598,"Total CA","Pre-COVID"
"5163","2020/2021","Total CA","NS","Deaths",2616,"Total CA","COVID"
"5164","2021/2022","Total CA","NS","Deaths",2934,"Total CA","COVID"
"5165","2022/2023","Total CA","NS","Deaths",2946,"Total CA","Post-COVID"
"5166","2023/2024","Total CA","NS","Deaths",3028,"Total CA","Post-COVID"
"5167","2017/2018","Total CA","NS","Immigrants",323,"Total CA","Pre-COVID"
"5168","2018/2019","Total CA","NS","Immigrants",440,"Total CA","Pre-COVID"
"5169","2019/2020","Total CA","NS","Immigrants",545,"Total CA","Pre-COVID"
"5170","2020/2021","Total CA","NS","Immigrants",310,"Total CA","COVID"
"5171","2021/2022","Total CA","NS","Immigrants",1555,"Total CA","COVID"
"5172","2022/2023","Total CA","NS","Immigrants",1389,"Total CA","Post-COVID"
"5173","2023/2024","Total CA","NS","Immigrants",1727,"Total CA","Post-COVID"
"5174","2017/2018","Total CA","NS","Emigrants",192,"Total CA","Pre-COVID"
"5175","2018/2019","Total CA","NS","Emigrants",111,"Total CA","Pre-COVID"
"5176","2019/2020","Total CA","NS","Emigrants",84,"Total CA","Pre-COVID"
"5177","2020/2021","Total CA","NS","Emigrants",74,"Total CA","COVID"
"5178","2021/2022","Total CA","NS","Emigrants",130,"Total CA","COVID"
"5179","2022/2023","Total CA","NS","Emigrants",140,"Total CA","Post-COVID"
"5180","2023/2024","Total CA","NS","Emigrants",142,"Total CA","Post-COVID"
"5181","2017/2018","Total CMA and CA","NB","Births",4145,"Total CMA and CA","Pre-COVID"
"5182","2018/2019","Total CMA and CA","NB","Births",4154,"Total CMA and CA","Pre-COVID"
"5183","2019/2020","Total CMA and CA","NB","Births",4091,"Total CMA and CA","Pre-COVID"
"5184","2020/2021","Total CMA and CA","NB","Births",4051,"Total CMA and CA","COVID"
"5185","2021/2022","Total CMA and CA","NB","Births",4105,"Total CMA and CA","COVID"
"5186","2022/2023","Total CMA and CA","NB","Births",4102,"Total CMA and CA","Post-COVID"
"5187","2023/2024","Total CMA and CA","NB","Births",4153,"Total CMA and CA","Post-COVID"
"5188","2017/2018","Total CMA and CA","NB","Deaths",4468,"Total CMA and CA","Pre-COVID"
"5189","2018/2019","Total CMA and CA","NB","Deaths",4552,"Total CMA and CA","Pre-COVID"
"5190","2019/2020","Total CMA and CA","NB","Deaths",4532,"Total CMA and CA","Pre-COVID"
"5191","2020/2021","Total CMA and CA","NB","Deaths",4520,"Total CMA and CA","COVID"
"5192","2021/2022","Total CMA and CA","NB","Deaths",5227,"Total CMA and CA","COVID"
"5193","2022/2023","Total CMA and CA","NB","Deaths",5463,"Total CMA and CA","Post-COVID"
"5194","2023/2024","Total CMA and CA","NB","Deaths",5627,"Total CMA and CA","Post-COVID"
"5195","2017/2018","Total CMA and CA","NB","Immigrants",3580,"Total CMA and CA","Pre-COVID"
"5196","2018/2019","Total CMA and CA","NB","Immigrants",4299,"Total CMA and CA","Pre-COVID"
"5197","2019/2020","Total CMA and CA","NB","Immigrants",4019,"Total CMA and CA","Pre-COVID"
"5198","2020/2021","Total CMA and CA","NB","Immigrants",2288,"Total CMA and CA","COVID"
"5199","2021/2022","Total CMA and CA","NB","Immigrants",7084,"Total CMA and CA","COVID"
"5200","2022/2023","Total CMA and CA","NB","Immigrants",9548,"Total CMA and CA","Post-COVID"
"5201","2023/2024","Total CMA and CA","NB","Immigrants",13088,"Total CMA and CA","Post-COVID"
"5202","2017/2018","Total CMA and CA","NB","Emigrants",652,"Total CMA and CA","Pre-COVID"
"5203","2018/2019","Total CMA and CA","NB","Emigrants",449,"Total CMA and CA","Pre-COVID"
"5204","2019/2020","Total CMA and CA","NB","Emigrants",338,"Total CMA and CA","Pre-COVID"
"5205","2020/2021","Total CMA and CA","NB","Emigrants",367,"Total CMA and CA","COVID"
"5206","2021/2022","Total CMA and CA","NB","Emigrants",502,"Total CMA and CA","COVID"
"5207","2022/2023","Total CMA and CA","NB","Emigrants",522,"Total CMA and CA","Post-COVID"
"5208","2023/2024","Total CMA and CA","NB","Emigrants",534,"Total CMA and CA","Post-COVID"
"5209","2017/2018","Total CMA","NB","Births",3507,"Total CMA","Pre-COVID"
"5210","2018/2019","Total CMA","NB","Births",3534,"Total CMA","Pre-COVID"
"5211","2019/2020","Total CMA","NB","Births",3498,"Total CMA","Pre-COVID"
"5212","2020/2021","Total CMA","NB","Births",3486,"Total CMA","COVID"
"5213","2021/2022","Total CMA","NB","Births",3509,"Total CMA","COVID"
"5214","2022/2023","Total CMA","NB","Births",3492,"Total CMA","Post-COVID"
"5215","2023/2024","Total CMA","NB","Births",3537,"Total CMA","Post-COVID"
"5216","2017/2018","Total CMA","NB","Deaths",3315,"Total CMA","Pre-COVID"
"5217","2018/2019","Total CMA","NB","Deaths",3462,"Total CMA","Pre-COVID"
"5218","2019/2020","Total CMA","NB","Deaths",3454,"Total CMA","Pre-COVID"
"5219","2020/2021","Total CMA","NB","Deaths",3431,"Total CMA","COVID"
"5220","2021/2022","Total CMA","NB","Deaths",4039,"Total CMA","COVID"
"5221","2022/2023","Total CMA","NB","Deaths",4133,"Total CMA","Post-COVID"
"5222","2023/2024","Total CMA","NB","Deaths",4259,"Total CMA","Post-COVID"
"5223","2017/2018","Total CMA","NB","Immigrants",3427,"Total CMA","Pre-COVID"
"5224","2018/2019","Total CMA","NB","Immigrants",4031,"Total CMA","Pre-COVID"
"5225","2019/2020","Total CMA","NB","Immigrants",3726,"Total CMA","Pre-COVID"
"5226","2020/2021","Total CMA","NB","Immigrants",2129,"Total CMA","COVID"
"5227","2021/2022","Total CMA","NB","Immigrants",6453,"Total CMA","COVID"
"5228","2022/2023","Total CMA","NB","Immigrants",8751,"Total CMA","Post-COVID"
"5229","2023/2024","Total CMA","NB","Immigrants",11649,"Total CMA","Post-COVID"
"5230","2017/2018","Total CMA","NB","Emigrants",595,"Total CMA","Pre-COVID"
"5231","2018/2019","Total CMA","NB","Emigrants",407,"Total CMA","Pre-COVID"
"5232","2019/2020","Total CMA","NB","Emigrants",316,"Total CMA","Pre-COVID"
"5233","2020/2021","Total CMA","NB","Emigrants",362,"Total CMA","COVID"
"5234","2021/2022","Total CMA","NB","Emigrants",445,"Total CMA","COVID"
"5235","2022/2023","Total CMA","NB","Emigrants",482,"Total CMA","Post-COVID"
"5236","2023/2024","Total CMA","NB","Emigrants",492,"Total CMA","Post-COVID"
"5237","2017/2018","Total CA","NB","Births",638,"Total CA","Pre-COVID"
"5238","2018/2019","Total CA","NB","Births",620,"Total CA","Pre-COVID"
"5239","2019/2020","Total CA","NB","Births",593,"Total CA","Pre-COVID"
"5240","2020/2021","Total CA","NB","Births",565,"Total CA","COVID"
